Orange Is the New Black	55509
Keeping Up With the Kardashians	51551
Pretty Little Liars	28550
Beauty and the Beast	13402
The Wil Wheaton Project	6914
MasterChef	4048
The 100	2538
Jimmy Kimmel Live	1706
America's Got Talent	1269
So You Think You Can Dance	1137
The Bachelorette	1067
Power	740
Hit the Floor	692
Major Crimes	588
Halt and Catch Fire	523
Gang Related	341
Escape Club	333
Mountain Men	273
Undateable	235
Bet on Your Baby	222
Satisfaction	177
Last Comic Standing	136
Crossbones	115
Royal Pains	92
Mistresses	88
Jennifer Falls	86
Extreme Weight Loss	55
I Wanna Marry "Harry"	29
