date	totalPosts	video	audio	text	photo	time
20140506	1	0	0	0	1	0
20140507	1	0	0	0	1	0
20140508	1	0	0	0	1	0
20140509	2	1	0	0	1	0
20140510	2	0	1	1	0	0
20140511	1	0	0	0	1	0
20140512	1	0	0	0	1	0
20140513	2	0	0	2	0	0
20140515	1	1	0	0	0	0
20140516	6	0	0	3	3	0
20140517	1	1	0	0	0	0
20140518	2	1	0	1	0	0
20140520	2	1	0	0	1	0
20140521	5	0	0	3	2	0
20140522	3	0	0	1	2	0
20140523	3	0	0	0	3	0
20140524	1	0	0	1	0	0
20140525	3	1	0	1	1	0
20140526	2	0	0	1	1	0
20140527	8	0	0	2	6	0
20140528	55	7	0	45	3	0
20140529	11	2	0	4	5	0
20140530	4	0	0	1	3	0
20140601	6	3	0	1	2	0
20140602	5	0	0	3	2	0
20140603	4	1	0	1	2	0
20140604	47	4	0	36	7	0
20140605	7	3	0	0	4	0
20140606	2	1	0	1	0	0
20140607	4	4	0	0	0	0
20140608	1	0	0	0	1	0
20140609	1	0	0	1	0	0
20140610	2	0	0	0	2	0
20140611	51	4	0	43	4	0
20140612	6	2	0	2	2	0
20140613	5	5	0	0	0	0
20140614	7	5	0	1	1	0
20140615	8	3	0	2	3	0
20140616	8	4	0	4	0	0
20140617	10	2	0	2	6	0
20140618	33	2	0	14	17	0
20140619	13	3	0	0	10	0
20140620	5	1	0	0	4	0
20140621	3	0	0	0	3	0
20140622	8	3	0	0	5	0
