date	totalPosts	video	audio	text	photo	time
20140518	87	3	0	8	76	0
20140519	107	2	1	13	91	0
20140520	96	3	0	10	83	0
20140521	101	6	2	12	81	0
20140522	108	2	2	12	92	0
20140523	108	0	1	14	93	0
20140524	103	4	4	15	80	0
20140525	113	3	0	17	93	0
20140526	108	5	1	11	91	0
20140527	115	1	0	17	97	0
20140528	129	4	0	11	114	0
20140514	1	0	0	0	1	0
20140529	105	5	1	20	79	0
20140530	122	3	0	15	104	0
20140531	115	3	1	18	93	0
20140601	115	0	1	10	104	0
20140602	145	4	1	19	121	0
20140603	124	2	1	32	89	0
20140604	126	2	1	17	106	0
20140605	126	5	0	32	89	0
20140606	130	8	3	25	94	0
20140607	134	4	0	28	102	0
20140608	129	3	1	23	102	0
20140609	124	3	1	18	102	0
20140610	132	6	0	32	94	0
20140611	117	5	2	24	86	0
20140612	126	4	2	24	96	0
20140613	116	3	3	20	90	0
20140614	91	2	0	15	74	0
20140615	105	2	1	13	89	0
20140616	118	6	1	18	93	0
20140617	134	2	0	24	108	0
20140618	106	2	0	20	84	0
20140420	1	0	0	0	1	0
20140619	111	1	1	18	91	0
20140620	125	0	1	20	104	0
20140621	97	3	1	16	77	0
20140622	96	3	2	14	77	0
20140623	5	0	0	0	5	0
