date	totalPosts	video	audio	text	photo	time
20131019	1	0	0	1	0	0
20131102	3	0	0	3	0	0
20131111	1	0	0	1	0	0
20131119	1	0	0	1	0	0
20131122	1	0	0	1	0	0
20131126	1	0	0	1	0	0
20131228	1	0	0	1	0	0
20140201	1	0	0	1	0	0
20140321	1	0	0	0	1	0
20140328	2	0	0	0	2	0
20140412	1	0	0	1	0	0
20140426	1	0	0	0	1	0
20140429	1	0	0	0	1	0
20140503	1	0	0	1	0	0
20140507	1	0	0	0	1	0
20140510	1	0	0	0	1	0
20140511	1	0	0	0	1	0
20140515	1	0	0	0	1	0
20140517	1	0	0	0	1	0
20140519	1	0	0	1	0	0
20140520	1	0	0	0	1	0
20140523	1	0	0	0	1	0
20140524	1	0	0	0	1	0
20140525	1	0	0	1	0	0
20140526	2	0	0	1	1	0
20140527	1	0	0	0	1	0
20140528	1	0	0	0	1	0
20140530	2	0	0	1	1	0
20140531	3	1	0	0	2	0
20140601	5	0	0	4	1	0
20140602	1	1	0	0	0	0
20140603	1	0	0	0	1	0
20140604	1	0	0	0	1	0
20140605	1	0	0	0	1	0
20140606	1	0	0	0	1	0
20140607	2	0	0	0	2	0
20140608	1	0	0	0	1	0
20140609	1	1	0	0	0	0
20140611	1	0	0	0	1	0
20140613	1	0	0	0	1	0
20140614	2	0	0	0	2	0
20140615	3	0	0	2	1	0
20140616	1	1	0	0	0	0
20140618	1	0	0	0	1	0
20140619	1	0	0	0	1	0
20140621	2	0	0	0	2	0
20140622	2	0	0	1	1	0
