date	totalPosts	video	audio	text	photo	time
20110712	1	1	0	0	0	0
20120120	1	0	1	0	0	0
20120207	1	0	0	0	1	0
20120210	1	1	0	0	0	0
20120212	1	0	0	1	0	0
20120530	1	0	0	0	1	0
20120602	1	1	0	0	0	0
20120609	1	0	0	1	0	0
20121109	1	1	0	0	0	0
20121211	1	1	0	0	0	0
20130326	1	1	0	0	0	0
20130707	1	1	0	0	0	0
20130804	1	0	0	1	0	0
20130807	1	0	0	1	0	0
20131026	1	1	0	0	0	0
20131108	1	0	0	0	1	0
20131126	1	0	0	1	0	0
20131205	1	0	0	0	1	0
20140502	1	0	0	1	0	0
20140518	1	0	0	1	0	0
20140609	4	0	0	4	0	0
20140616	1	0	0	1	0	0
20140617	2	1	0	0	1	0
20140618	2	0	0	0	2	0
20140622	1	0	0	1	0	0
