date	totalPosts	video	audio	text	photo	time
20140402	1	0	0	1	0	0
20140408	1	0	0	1	0	0
20140417	2	0	0	1	1	0
20140421	1	0	0	0	1	0
20140427	1	0	0	1	0	0
20140429	1	0	0	0	1	0
20140504	1	0	0	1	0	0
20140506	1	1	0	0	0	0
20140507	2	0	0	2	0	0
20140508	2	1	0	1	0	0
20140513	1	0	0	1	0	0
20140517	1	0	0	1	0	0
20140519	1	0	0	0	1	0
20140520	1	0	0	0	1	0
20140521	1	0	0	0	1	0
20140522	2	0	0	0	2	0
20140523	3	0	0	0	3	0
20140525	3	0	0	2	1	0
20140526	1	0	0	0	1	0
20140527	4	1	0	0	3	0
20140528	9	0	0	8	1	0
20140530	2	0	0	2	0	0
20140601	5	0	0	0	5	0
20140602	3	0	0	0	3	0
20140603	1	0	0	0	1	0
20140604	6	0	0	5	1	0
20140605	2	0	0	2	0	0
20140606	1	0	0	1	0	0
20140610	1	0	0	0	1	0
20140612	1	1	0	0	0	0
20140617	3	0	0	2	1	0
20140618	4	0	0	3	1	0
20140619	1	0	0	1	0	0
