date	totalPosts	video	audio	text	photo	time
20140518	98	5	0	24	69	0
20140519	153	3	0	86	64	0
20140520	151	11	0	67	73	0
20140604	150	10	1	47	92	0
20140521	155	5	0	46	104	0
20140522	150	5	0	53	92	0
20140523	152	9	1	49	93	0
20140524	154	5	0	50	99	0
20140525	154	6	1	44	103	0
20140326	1	0	0	0	1	0
20140526	154	1	0	50	103	0
20140512	1	0	0	1	0	0
20140527	152	8	0	53	91	0
20140528	148	7	0	41	100	0
20140529	150	4	1	36	109	0
20140530	153	6	0	36	111	0
20140531	152	5	1	35	111	0
20140601	148	4	0	44	100	0
20140602	151	3	1	108	39	0
20140603	149	3	0	66	80	0
20140605	153	5	0	56	92	0
20140606	156	5	3	51	97	0
20140607	152	4	0	41	107	0
20140608	151	9	1	40	101	0
20140609	149	3	2	94	50	0
20140610	147	9	0	59	79	0
20140611	148	6	0	55	87	0
20140612	149	13	0	55	81	0
20140613	143	8	0	43	92	0
20140614	150	12	0	40	98	0
20140615	156	2	0	49	105	0
20140616	154	4	0	99	51	0
20140617	151	2	0	56	93	0
20140618	144	3	1	42	98	0
20140619	149	12	1	46	90	0
20140620	153	8	2	49	94	0
20140621	165	3	3	58	101	0
20140622	130	6	5	35	84	0
20140623	19	2	0	6	11	0
