date	totalPosts	video	audio	text	photo	time
20140511	1	1	0	0	0	0
20140513	1	0	0	0	1	0
20140515	5	1	0	0	4	0
20140516	3	0	0	1	2	0
20140517	7	1	0	1	5	0
20140518	9	1	0	7	1	0
20140519	2	0	0	1	1	0
20140520	6	0	0	4	2	0
20140521	5	0	0	3	2	0
20140522	17	4	0	5	8	0
20140523	36	0	0	31	5	0
20140524	14	1	1	10	2	0
20140525	3	0	0	2	1	0
20140526	5	0	0	3	2	0
20140527	7	0	0	2	5	0
20140528	5	0	0	3	2	0
20140529	9	0	0	1	8	0
20140530	14	0	0	13	1	0
20140531	11	0	0	5	6	0
20140601	4	0	0	0	4	0
20140602	2	0	0	1	1	0
20140603	6	0	0	3	3	0
20140604	5	0	0	1	4	0
20140605	5	2	0	0	3	0
20140606	17	0	0	10	7	0
20140607	4	0	0	3	1	0
20140608	3	0	0	2	1	0
20140609	4	2	0	2	0	0
20140610	3	0	0	1	2	0
20140611	6	0	0	1	5	0
20140612	4	1	0	1	2	0
20140613	13	1	0	8	4	0
20140614	6	0	0	4	2	0
20140615	7	1	1	5	0	0
20140617	2	0	0	1	1	0
20140618	1	0	0	1	0	0
20140619	6	1	0	1	4	0
20140620	12	0	0	5	7	0
20140621	2	0	0	1	1	0
20140622	2	0	0	2	0	0
