date	totalPosts	video	audio	text	photo	time
20140517	15	2	0	2	11	0
20140518	19	2	0	3	14	0
20140519	41	1	0	21	19	0
20140520	83	1	0	45	37	0
20140521	54	4	0	24	26	0
20140522	57	6	1	13	37	0
20140523	37	4	0	10	23	0
20140524	37	5	3	2	27	0
20140525	25	2	0	7	16	0
20140526	26	0	0	9	17	0
20140527	22	3	0	10	9	0
20140528	20	1	0	7	12	0
20140529	26	3	0	8	15	0
20140530	30	0	3	9	18	0
20140531	26	0	4	6	16	0
20140601	50	4	3	19	24	0
20140602	117	6	0	68	43	0
20140603	63	6	0	22	35	0
20140604	39	0	0	17	22	0
20140605	22	2	0	9	11	0
20140606	17	2	1	4	10	0
20140607	23	0	0	10	13	0
20140608	22	1	0	9	12	0
20140609	99	3	1	54	41	0
20140610	39	1	0	22	16	0
20140611	27	2	0	12	13	0
20140612	36	2	1	9	24	0
20140613	24	1	0	8	15	0
20140614	18	0	0	6	12	0
20140615	26	0	0	9	17	0
20140616	136	3	0	89	44	0
20140617	73	4	0	40	29	0
20140618	48	2	0	23	23	0
20140619	22	0	0	13	9	0
20140620	28	2	0	14	12	0
20140621	17	1	0	8	8	0
20140622	27	1	0	11	15	0
20140623	2	0	0	0	2	0
