date	totalPosts	video	audio	text	photo	time
20140509	1	0	0	0	1	0
20140510	1	0	0	0	1	0
20140511	1	0	0	0	1	0
20140513	2	0	0	1	1	0
20140514	1	0	0	0	1	0
20140515	5	0	0	4	1	0
20140516	1	0	0	1	0	0
20140517	4	1	0	0	3	0
20140519	2	0	0	2	0	0
20140520	4	0	0	2	2	0
20140521	7	1	0	2	4	0
20140522	6	2	0	2	2	0
20140523	5	1	0	0	4	0
20140524	5	2	0	1	2	0
20140525	22	1	0	18	3	0
20140526	21	0	0	15	6	0
20140527	60	0	0	44	16	0
20140528	17	1	0	6	10	0
20140529	7	0	0	2	5	0
20140530	13	1	0	9	3	0
20140531	6	1	0	3	2	0
20140601	2	1	0	0	1	0
20140602	9	0	0	4	5	0
20140603	53	4	1	37	11	0
20140604	9	2	1	3	3	0
20140605	9	1	0	4	4	0
20140606	2	0	0	0	2	0
20140607	3	0	0	2	1	0
20140608	2	0	0	0	2	0
20140609	5	0	0	3	2	0
20140610	40	0	0	34	6	0
20140611	4	0	0	4	0	0
20140612	1	0	0	1	0	0
20140613	5	0	0	3	2	0
20140614	2	1	0	0	1	0
20140615	1	0	0	1	0	0
20140616	5	1	0	3	1	0
20140617	35	0	0	26	9	0
20140618	5	0	0	0	5	0
20140619	12	0	0	6	6	0
20140620	2	0	0	1	1	0
20140621	5	0	0	0	5	0
