date	totalPosts	video	audio	text	photo	time
20130225	1	0	0	1	0	0
20130806	1	0	0	0	1	0
20130919	1	0	0	0	1	0
20131116	3	0	0	0	3	0
20131118	1	0	0	0	1	0
20140109	1	0	0	0	1	0
20140127	1	0	0	1	0	0
20140128	1	0	0	0	1	0
20140301	1	0	0	1	0	0
20140303	1	1	0	0	0	0
20140514	1	0	0	1	0	0
20140528	2	0	0	0	2	0
20140529	1	0	0	0	1	0
20140531	1	0	0	1	0	0
20140602	1	0	0	1	0	0
20140604	3	0	0	2	1	0
20140605	3	1	0	1	1	0
20140606	4	0	0	1	3	0
20140607	1	1	0	0	0	0
20140608	1	0	0	0	1	0
20140610	2	0	0	0	2	0
20140611	1	0	0	0	1	0
20140612	1	0	0	0	1	0
20140613	2	0	0	1	1	0
20140616	1	0	0	0	1	0
20140618	1	0	0	0	1	0
