date	totalPosts	video	audio	text	photo	time
20140516	15	6	0	2	7	0
20140517	5	1	0	0	4	0
20140518	6	0	0	1	5	0
20140519	3	0	0	0	3	0
20140520	9	0	0	5	4	0
20140521	7	3	0	2	2	0
20140522	30	11	0	2	17	0
20140523	16	10	0	1	5	0
20140524	8	2	0	0	6	0
20140525	5	2	0	0	3	0
20140526	2	0	0	1	1	0
20140527	4	3	0	0	1	0
20140528	3	2	0	0	1	0
20140529	1	0	0	1	0	0
20140530	3	1	0	0	2	0
20140531	3	0	0	2	1	0
20140601	5	2	0	0	3	0
20140602	3	0	0	3	0	0
20140603	4	2	0	2	0	0
20140604	4	3	0	1	0	0
20140605	8	3	0	1	4	0
20140606	15	7	0	5	3	0
20140607	6	4	0	0	2	0
20140608	2	1	0	0	1	0
20140609	5	1	0	0	4	0
20140610	3	1	0	1	1	0
20140611	20	9	0	9	2	0
20140612	8	5	0	0	3	0
20140613	21	2	0	2	17	0
20140614	6	3	0	1	2	0
20140615	9	2	0	4	3	0
20130730	1	0	0	0	1	0
20130731	2	0	0	0	2	0
20140616	13	4	0	3	6	0
20140617	17	7	0	3	7	0
20140618	9	1	0	4	4	0
20140619	24	7	0	5	12	0
20140620	5	0	0	1	4	0
20140621	5	1	0	0	4	0
20140622	11	3	0	3	5	0
20140623	1	0	0	1	0	0
