date	totalPosts	video	audio	text	photo	time
20140517	11	0	2	0	9	0
20140518	36	0	0	8	28	0
20140519	61	0	1	10	50	0
20140520	47	0	0	7	40	0
20140521	56	0	0	9	47	0
20140522	48	0	1	3	44	0
20140523	57	1	0	15	41	0
20140524	53	0	0	10	43	0
20140525	43	1	0	10	32	0
20140526	47	0	1	6	40	0
20140527	78	0	0	21	57	0
20140528	49	0	0	7	42	0
20140529	52	0	0	4	48	0
20140530	39	0	1	10	28	0
20140531	42	0	1	2	39	0
20140601	40	2	0	4	34	0
20140602	49	1	0	14	34	0
20140603	49	4	0	13	32	0
20140604	58	0	0	18	40	0
20140605	79	0	0	29	50	0
20140606	85	1	0	31	53	0
20140607	65	3	2	7	53	0
20140608	94	2	0	37	55	0
20140609	111	1	0	48	62	0
20140610	80	0	0	20	60	0
20140611	50	0	0	16	34	0
20140612	68	0	0	11	57	0
20140613	68	0	0	19	49	0
20140614	52	0	0	18	34	0
20140615	47	0	0	7	40	0
20140616	120	0	1	35	84	0
20140617	97	4	0	21	72	0
20140618	96	0	0	26	70	0
20140619	67	0	0	12	55	0
20140620	55	0	0	8	47	0
20140621	39	0	0	6	33	0
20140622	61	0	0	8	53	0
20140623	3	0	0	0	3	0
