date	totalPosts	video	audio	text	photo	time
20140516	10	1	0	4	5	0
20140517	6	0	0	3	3	0
20140518	6	0	0	2	4	0
20140519	9	0	0	4	5	0
20140520	15	3	0	8	4	0
20140521	17	0	0	9	8	0
20140522	12	0	1	6	5	0
20140523	8	1	0	1	6	0
20140524	12	1	0	3	8	0
20140525	15	0	0	11	4	0
20140526	21	0	0	13	8	0
20140527	16	0	0	14	2	0
20140528	15	0	0	9	6	0
20140529	17	1	0	9	7	0
20140530	12	0	0	7	5	0
20140531	17	0	0	7	10	0
20140601	18	1	0	11	6	0
20140602	37	0	0	21	16	0
20140603	16	0	0	12	4	0
20140604	31	3	0	18	10	0
20140605	29	1	0	11	17	0
20140606	37	3	0	11	23	0
20140607	18	1	0	6	11	0
20140608	32	0	1	17	14	0
20140609	81	4	0	54	23	0
20140610	113	3	0	60	50	0
20140611	35	1	1	18	15	0
20140612	30	0	0	14	16	0
20140613	16	1	1	11	3	0
20140614	6	1	0	2	3	0
20140615	12	0	0	8	4	0
20140616	28	2	0	10	16	0
20140617	94	2	0	48	44	0
20140618	29	4	0	14	11	0
20140619	11	2	0	4	5	0
20140620	18	1	0	4	13	0
20140621	15	1	0	4	10	0
20140622	13	0	0	4	9	0
20140623	1	0	0	0	1	0
