date	totalPosts	video	audio	text	photo	time
20140517	15	1	0	2	12	0
20140518	38	0	0	6	32	0
20140519	31	0	0	4	27	0
20140520	27	0	0	2	25	0
20140521	26	0	0	0	26	0
20100512	2	0	0	2	0	0
20100515	2	0	0	2	0	0
20100520	2	0	0	2	0	0
20140522	33	0	1	4	28	0
20140523	28	2	0	2	24	0
20140524	31	1	0	3	27	0
20140525	29	0	0	2	27	0
20140526	39	0	0	7	32	0
20140527	74	0	0	37	37	0
20140502	1	0	0	1	0	0
20140528	41	1	0	8	32	0
20140529	32	0	0	3	29	0
20140530	39	1	0	9	29	0
20140531	42	0	0	12	30	0
20140601	36	0	0	3	33	0
20140602	31	0	0	8	23	0
20140603	76	1	0	37	38	0
20140604	38	0	0	4	34	0
20140605	44	0	0	4	40	0
20140606	38	4	0	5	29	0
20140607	29	0	0	2	27	0
20140608	44	1	0	2	41	0
20140609	41	1	0	8	32	0
20140610	63	0	0	26	37	0
20140611	38	0	0	9	29	0
20140612	47	1	0	10	36	0
20140613	36	2	0	3	31	0
20140614	30	0	0	3	27	0
20140615	37	1	0	3	33	0
20140616	31	0	0	7	24	0
20140617	71	2	0	36	33	0
20140618	67	0	0	25	42	0
20140619	49	0	0	7	42	0
20140620	28	0	0	5	23	0
20140621	38	1	0	3	34	0
20140622	40	0	0	12	28	0
20140623	5	1	0	1	3	0
