date	totalPosts	video	audio	text	photo	time
20140514	5	0	0	3	2	0
20140515	4	0	0	1	3	0
20140516	4	0	0	1	3	0
20140517	5	0	0	3	2	0
20140518	1	0	0	1	0	0
20140519	1	0	0	0	1	0
20140520	11	0	0	9	2	0
20140521	11	1	0	7	3	0
20140522	11	0	0	6	5	0
20140523	11	0	0	5	6	0
20140524	6	0	0	3	3	0
20140525	6	0	0	2	4	0
20140526	6	0	0	3	3	0
20140527	15	0	0	9	6	0
20140528	8	0	0	5	3	0
20140529	10	1	0	5	4	0
20140530	13	1	0	3	9	0
20140531	7	0	0	4	3	0
20140601	7	0	0	5	2	0
20140602	9	0	0	5	4	0
20140603	13	0	0	8	5	0
20140604	13	0	0	4	9	0
20140605	15	0	0	4	11	0
20140606	6	0	0	0	6	0
20140607	4	0	0	1	3	0
20140608	12	0	0	1	11	0
20140609	10	0	0	1	9	0
20140610	9	0	0	2	7	0
20140611	12	0	0	9	3	0
20140612	3	0	0	0	3	0
20140613	2	0	0	0	2	0
20140614	1	0	0	1	0	0
20140615	9	0	0	2	7	0
20140616	5	2	0	1	2	0
20140617	2	0	0	0	2	0
20140618	9	0	1	5	3	0
20140619	10	0	0	4	6	0
20140620	5	1	0	2	2	0
20140621	22	1	0	0	21	0
20140622	7	0	0	1	6	0
