date	totalPosts	video	audio	text	photo	time
20140113	2	1	0	1	0	0
20140114	1	1	0	0	0	0
20140126	1	1	0	0	0	0
20140130	1	0	0	1	0	0
20140131	1	1	0	0	0	0
20140204	1	0	0	0	1	0
20140214	1	1	0	0	0	0
20140216	1	0	0	0	1	0
20140217	1	0	0	1	0	0
20140301	1	0	0	0	1	0
20140302	1	0	0	0	1	0
20140307	1	1	0	0	0	0
20140327	1	0	0	0	1	0
20140501	1	0	0	0	1	0
20140502	1	0	0	1	0	0
20140512	2	0	0	2	0	0
20140516	1	1	0	0	0	0
20140527	1	0	0	0	1	0
20140601	3	1	0	1	1	0
20140602	3	0	0	3	0	0
20140603	1	0	0	1	0	0
20140608	1	0	0	0	1	0
20140609	1	0	0	1	0	0
20140612	4	0	0	4	0	0
20140613	6	0	0	3	3	0
20140614	5	0	0	2	3	0
20140615	2	0	0	1	1	0
20140616	1	0	0	0	1	0
20140618	2	0	0	1	1	0
20140619	1	0	0	0	1	0
20140622	1	0	0	0	1	0
