date	totalPosts	video	audio	text	photo	time
20140518	63	0	0	33	30	0
20140519	91	0	0	44	47	0
20140520	107	8	0	42	57	0
20140521	63	1	0	26	36	0
20140522	102	2	0	46	54	0
20140523	102	2	1	45	54	0
20140524	92	1	0	44	47	0
20140525	100	2	0	54	44	0
20140526	105	2	0	44	59	0
20140527	122	5	0	56	61	0
20140528	110	5	1	55	49	0
20140619	155	1	1	87	66	0
20140529	123	2	0	62	59	0
20140530	145	2	0	75	68	0
20140531	130	1	0	73	56	0
20140601	135	4	0	74	57	0
20140602	143	5	0	88	50	0
20140603	141	4	0	84	53	0
20140604	148	7	1	72	68	0
20140605	154	3	0	79	72	0
20140606	157	1	0	105	51	0
20140607	154	0	0	96	58	0
20140608	158	0	1	112	45	0
20140609	153	4	0	84	65	0
20140610	157	3	0	89	65	0
20140611	149	1	0	82	66	0
20140612	157	0	2	92	63	0
20140613	152	2	0	90	60	0
20140614	152	0	3	85	64	0
20140615	150	3	1	87	59	0
20140616	154	3	1	81	69	0
20140617	151	1	1	69	80	0
20140618	149	0	0	77	72	0
20140620	151	2	0	67	82	0
20140621	169	3	0	77	89	0
20140622	136	0	1	62	73	0
20140623	18	0	0	9	9	0
