date	totalPosts	video	audio	text	photo	time
20140518	100	5	2	19	74	0
20140519	141	6	1	29	105	0
20131205	3	0	0	0	3	0
20140520	141	3	3	29	106	0
20140521	144	7	1	26	110	0
20140522	156	5	1	41	109	0
20140401	1	0	0	1	0	0
20140523	160	6	0	37	117	0
20140524	147	5	0	25	117	0
20140525	142	2	1	27	112	0
20140526	143	12	0	30	101	0
20140527	153	7	0	35	111	0
20140528	144	8	1	36	99	0
20140202	8	0	0	8	0	0
20140529	146	5	1	28	112	0
20140530	149	3	0	27	119	0
20131202	3	0	0	0	3	0
20140531	151	4	1	28	118	0
20140601	157	10	2	19	126	0
20140602	154	7	1	42	104	0
20140603	157	6	0	28	123	0
20140604	145	7	2	34	102	0
20140605	159	6	0	40	113	0
20140606	151	11	1	42	97	0
20140607	145	3	0	27	115	0
20140608	154	7	1	39	107	0
20140609	148	10	2	33	103	0
20140610	161	7	1	33	120	0
20140611	149	4	4	30	111	0
20120501	1	0	0	1	0	0
20140612	149	6	2	40	101	0
20140613	155	4	2	29	120	0
20140614	148	6	3	29	110	0
20140615	151	5	2	31	113	0
20140616	150	9	3	37	101	0
20140617	152	9	0	32	111	0
20140618	148	5	2	34	107	0
20140619	151	10	1	29	111	0
20140620	148	7	0	36	105	0
20140621	140	9	2	20	109	0
20140622	131	6	1	20	104	0
20140116	1	0	0	1	0	0
20140623	14	0	0	3	11	0
