date	totalPosts	video	audio	text	photo	time
20140518	95	3	0	11	81	0
20140519	157	1	0	20	136	0
20140520	144	1	0	28	115	0
20140521	152	0	0	10	142	0
20140522	154	1	0	24	129	0
20140523	156	0	0	16	140	0
20140524	157	0	0	8	149	0
20140525	152	1	0	14	137	0
20140526	149	0	0	14	135	0
20140527	152	1	0	18	133	0
20140528	150	4	0	31	115	0
20140529	152	3	0	25	124	0
20140530	150	2	0	18	130	0
20140531	152	5	0	26	121	0
20140601	152	0	0	20	132	0
20140602	154	2	0	15	137	0
20140603	148	2	0	24	122	0
20140604	160	4	0	30	126	0
20140605	150	0	2	19	129	0
20140606	154	1	0	27	126	0
20140607	156	3	0	24	129	0
20140609	151	0	0	35	116	0
20140608	149	4	0	31	114	0
20140610	152	1	0	52	99	0
20140611	149	2	0	72	75	0
20140612	146	2	0	40	104	0
20140613	150	4	0	36	110	0
20140614	148	2	0	24	122	0
20140615	152	2	1	23	126	0
20140616	152	3	1	24	124	0
20140617	150	4	0	27	119	0
20140618	153	6	1	68	78	0
20140107	1	0	0	0	1	0
20140619	157	3	0	34	120	0
20140620	150	3	1	34	112	0
20140621	174	4	1	29	140	0
20140622	133	2	0	16	115	0
20140623	19	0	0	4	15	0
