date	totalPosts	video	audio	text	photo	time
20140501	3	0	0	2	1	0
20140502	1	0	0	1	0	0
20140503	1	0	0	1	0	0
20140504	3	0	0	3	0	0
20140506	2	0	0	0	2	0
20140509	1	0	0	0	1	0
20140511	1	0	0	1	0	0
20140512	3	0	1	2	0	0
20140515	2	0	0	2	0	0
20140517	2	0	0	1	1	0
20140518	2	0	0	1	1	0
20140519	2	0	0	2	0	0
20140520	1	0	0	1	0	0
20140521	3	0	0	3	0	0
20140522	2	0	0	2	0	0
20140523	1	0	0	1	0	0
20140524	1	0	0	1	0	0
20140526	1	0	0	1	0	0
20140527	5	0	0	4	1	0
20140529	4	0	0	4	0	0
20140530	3	0	0	3	0	0
20140601	2	0	0	2	0	0
20140602	3	0	0	3	0	0
20140603	3	0	0	3	0	0
20140604	4	0	0	3	1	0
20140605	1	0	0	1	0	0
20140606	4	0	0	3	1	0
20140607	6	0	0	5	1	0
20140608	2	0	0	1	1	0
20140609	5	0	0	3	2	0
20140610	9	1	0	3	5	0
20140611	18	0	0	13	5	0
20140612	11	0	0	3	8	0
20140613	4	1	0	2	1	0
20140614	4	0	0	1	3	0
20140615	6	0	0	5	1	0
20140616	4	0	0	4	0	0
20140617	7	1	0	3	3	0
20140618	15	0	0	7	8	0
20140619	4	0	0	3	1	0
20140620	2	0	0	1	1	0
20140621	1	0	0	1	0	0
20140622	2	0	0	2	0	0
