date	totalPosts	video	audio	text	photo	time
20140518	7	0	0	4	3	0
20140519	21	1	1	11	8	0
20140520	9	0	1	5	3	0
20140521	9	1	0	2	6	0
20140522	20	3	1	4	12	0
20140523	8	0	0	3	5	0
20140524	11	1	0	3	7	0
20140525	13	0	0	6	7	0
20140526	16	1	0	5	10	0
20140527	5	1	0	2	2	0
20140528	15	1	0	5	9	0
20140529	16	2	0	5	9	0
20140530	10	0	0	6	4	0
20140531	16	4	1	8	3	0
20140601	10	1	0	1	8	0
20140602	11	0	0	3	8	0
20140603	17	1	0	5	11	0
20140604	16	0	0	9	7	0
20140605	12	0	0	4	8	0
20140606	30	0	3	11	16	0
20140607	16	2	0	6	8	0
20140608	12	0	0	4	8	0
20140609	10	1	1	4	4	0
20140610	14	0	1	6	7	0
20140611	19	2	1	9	7	0
20140612	10	2	1	1	6	0
20140613	12	2	0	3	7	0
20140614	10	2	3	3	2	0
20140615	15	0	0	7	8	0
20140616	9	0	1	4	4	0
20140617	13	2	0	4	7	0
20140618	15	2	0	5	8	0
20140619	16	0	1	6	9	0
20140620	11	1	0	4	6	0
20140621	9	0	0	2	7	0
20140622	10	2	0	4	4	0
20140623	1	0	0	1	0	0
