date	totalPosts	video	audio	text	photo	time
20140510	1	1	0	0	0	0
20140511	3	2	0	1	0	0
20140512	5	3	0	0	2	0
20140514	1	1	0	0	0	0
20140515	8	7	0	0	1	0
20140516	2	1	0	0	1	0
20140517	2	2	0	0	0	0
20140518	2	2	0	0	0	0
20140519	6	6	0	0	0	0
20140520	4	2	0	1	1	0
20140521	11	4	0	4	3	0
20140522	8	0	0	5	3	0
20140523	7	2	0	2	3	0
20140524	8	0	0	5	3	0
20140525	11	6	0	2	3	0
20140526	2	0	0	2	0	0
20140527	12	3	0	4	5	0
20140528	27	6	0	13	8	0
20140529	66	8	0	51	7	0
20140530	20	6	0	5	9	0
20140531	7	5	1	0	1	0
20140601	8	4	0	1	3	0
20140602	13	5	0	3	5	0
20140603	4	1	0	2	1	0
20140604	10	0	0	1	9	0
20140605	73	20	0	43	10	0
20140606	25	11	0	10	4	0
20140607	12	4	0	7	1	0
20140608	7	5	0	0	2	0
20140609	11	3	0	2	6	0
20140610	14	3	0	0	11	0
20140611	11	1	0	3	7	0
20140612	51	10	0	28	13	0
20140613	18	5	0	12	1	0
20140614	10	4	0	0	6	0
20140615	6	1	0	3	2	0
20140616	7	6	0	0	1	0
20140617	12	6	0	0	6	0
20140618	15	2	0	7	6	0
20140619	50	9	0	25	16	0
20140620	18	7	2	6	3	0
20140621	8	4	0	2	2	0
20140622	1	0	0	1	0	0
20140623	1	0	0	1	0	0
