date	totalPosts	video	audio	text	photo	time
20140518	109	6	0	36	67	0
20140519	133	6	0	68	59	0
20140520	143	6	0	64	73	0
20140521	115	4	0	58	53	0
20140522	150	1	0	104	45	0
20140523	155	4	1	86	64	0
20140524	139	7	1	56	75	0
20140525	139	11	1	57	70	0
20140526	138	3	0	68	67	0
20140527	122	3	0	57	62	0
20140528	145	10	0	98	37	0
20140529	149	1	1	108	39	0
20140530	153	8	0	68	77	0
20140531	141	0	0	84	57	0
20140601	134	4	1	67	62	0
20140602	121	8	0	63	50	0
20140603	111	6	0	52	53	0
20140604	118	8	0	62	48	0
20140605	154	1	1	109	43	0
20140606	141	5	0	69	67	0
20140607	135	5	0	67	63	0
20140608	146	4	2	85	55	0
20140609	117	8	1	56	52	0
20140610	119	10	1	53	55	0
20140611	144	6	0	95	43	0
20140612	151	1	1	120	29	0
20140613	150	2	0	89	59	0
20140614	161	7	0	72	82	0
20140615	141	7	0	62	72	0
20140616	121	5	0	53	63	0
20140617	140	6	0	69	65	0
20140618	111	7	0	52	52	0
20140619	124	2	0	70	52	0
20140620	110	7	0	57	46	0
20140621	124	1	1	60	62	0
20140622	128	3	0	56	69	0
20140623	7	0	0	2	5	0
