date	totalPosts	video	audio	text	photo	time
20140516	8	0	0	5	3	0
20140517	10	1	0	8	1	0
20140518	3	1	0	1	1	0
20140519	26	0	0	19	7	0
20140520	91	0	0	67	24	0
20140521	21	0	0	13	8	0
20140522	13	1	0	9	3	0
20140523	23	0	0	15	8	0
20140524	4	1	0	3	0	0
20140525	9	0	0	4	5	0
20140526	7	0	0	4	3	0
20140527	74	0	0	51	23	0
20140528	18	1	0	9	8	0
20140529	10	1	0	5	4	0
20140530	17	1	1	9	6	0
20140531	8	1	0	5	2	0
20140601	7	0	0	3	4	0
20140602	50	0	0	37	13	0
20140603	69	1	0	49	19	0
20140604	34	1	0	14	19	0
20140605	6	1	0	4	1	0
20140606	16	0	0	10	6	0
20140607	10	0	0	8	2	0
20140608	2	0	0	2	0	0
20140609	6	0	0	4	2	0
20140610	13	0	0	11	2	0
20140611	10	1	0	9	0	0
20140612	9	0	0	4	5	0
20140613	5	1	0	2	2	0
20140614	6	1	0	4	1	0
20140615	5	1	0	4	0	0
20140616	11	0	0	5	6	0
20140617	56	1	0	42	13	0
20140618	16	0	0	7	9	0
20140619	11	0	0	8	3	0
20140620	10	1	0	7	2	0
20140621	4	0	0	2	2	0
20140622	5	1	0	2	2	0
