date	totalPosts	video	audio	text	photo	time
20140402	4	0	0	2	2	0
20140403	3	0	0	2	1	0
20140404	2	0	0	1	1	0
20140429	1	0	0	1	0	0
20140501	1	0	0	1	0	0
20140511	1	0	0	1	0	0
20140519	1	0	0	1	0	0
20140521	1	0	0	1	0	0
20140527	7	1	0	1	5	0
20140528	13	1	0	7	5	0
20140530	7	3	0	2	2	0
20140531	1	1	0	0	0	0
20140601	3	0	0	0	3	0
20140602	2	0	0	1	1	0
20140603	2	0	0	1	1	0
20140604	12	0	0	4	8	0
20140605	5	1	0	1	3	0
20140606	4	2	0	1	1	0
20140607	1	0	0	0	1	0
20140609	1	0	0	1	0	0
20140610	3	0	0	2	1	0
20140611	7	4	0	3	0	0
20140612	2	1	0	1	0	0
20140613	1	0	0	0	1	0
20140614	1	1	0	0	0	0
20140615	1	0	0	1	0	0
20140616	1	1	0	0	0	0
20140617	2	0	0	0	2	0
20140618	3	1	0	0	2	0
20140619	1	1	0	0	0	0
20140620	1	1	0	0	0	0
20140622	2	1	0	1	0	0
